Rolling sums (days),Rainy season (fraction of year),Fraction of eruptions in rainy season,Prediction improvement
30,0.05,0.0,-100.0
30,0.1,0.12,25.0
30,0.15,0.12,-16.67
30,0.2,0.19,-6.25
30,0.25,0.19,-25.0
30,0.3,0.25,-16.67
60,0.05,0.06,25.0
60,0.1,0.06,-37.5
60,0.15,0.12,-16.67
60,0.2,0.25,25.0
60,0.25,0.31,25.0
60,0.3,0.31,4.17
90,0.05,0.06,25.0
90,0.1,0.12,25.0
90,0.15,0.19,25.0
90,0.2,0.19,-6.25
90,0.25,0.19,-25.0
90,0.3,0.19,-37.5
120,0.05,0.06,25.0
120,0.1,0.12,25.0
120,0.15,0.12,-16.67
120,0.2,0.12,-37.5
120,0.25,0.19,-25.0
120,0.3,0.25,-16.67
