Rolling,Lower Bound,Upper Bound,Shift,p-value
30,4,24,30,0.21904109426248794
30,4,24,40,0.5672613358580348
30,4,24,50,0.8870612921788642
30,4,25,30,0.21962555800914335
30,4,25,40,0.5663603690439227
30,4,25,50,0.887686819458574
30,4,26,30,0.22090761187509242
30,4,26,40,0.5668998413591213
30,4,26,50,0.887020322053129
30,4,27,30,0.2215352126530989
30,4,27,40,0.5670616246795128
30,4,27,50,0.8855909931410719
30,4,28,30,0.221733202947677
30,4,28,40,0.5666359844073497
30,4,28,50,0.8850888426226815
30,4,29,30,0.22273379240558697
30,4,29,40,0.5679957269730973
30,4,29,50,0.884975556327467
30,5,24,30,0.21141363721169715
30,5,24,40,0.5451416044239017
30,5,24,50,0.8945079458272363
30,5,25,30,0.21294872633570525
30,5,25,40,0.5462088929028475
30,5,25,50,0.8936546203190504
30,5,26,30,0.21378287822655603
30,5,26,40,0.5468448297470923
30,5,26,50,0.891994173502243
30,5,27,30,0.2141578630482531
30,5,27,40,0.5468381568644204
30,5,27,50,0.8913373385525842
30,5,28,30,0.21535309102417732
30,5,28,40,0.548678803044795
30,5,28,50,0.8911056209567778
30,5,29,30,0.215851298209801
30,5,29,40,0.5504974878841317
30,5,29,50,0.8916306642083696
40,4,24,30,0.5511683803909053
40,4,24,40,0.5993934524119006
40,4,24,50,0.8740027864690904
40,4,25,30,0.5522752124071277
40,4,25,40,0.5983035812596496
40,4,25,50,0.8752444674652078
40,4,26,30,0.5543706750720312
40,4,26,40,0.5995829129251766
40,4,26,50,0.8755081650067332
40,4,27,30,0.5556240427432446
40,4,27,40,0.601561550024784
40,4,27,50,0.87513588919382
40,4,28,30,0.5563121351618978
40,4,28,40,0.6025417168138512
40,4,28,50,0.8755141827601115
40,4,29,30,0.5583634361980585
40,4,29,40,0.6048188169204998
40,4,29,50,0.8761791018604682
40,5,24,30,0.5427188976218317
40,5,24,40,0.577640787984764
40,5,24,50,0.8813418574348211
40,5,25,30,0.5451786321562588
40,5,25,40,0.5794447056481951
40,5,25,50,0.8815172302284874
40,5,26,30,0.5467178077968811
40,5,26,40,0.5819524030831472
40,5,26,50,0.8810153882580796
40,5,27,30,0.547640333041254
40,5,27,40,0.5833793404457661
40,5,27,50,0.8813250064702506
40,5,28,30,0.549999848864605
40,5,28,40,0.586145307234863
40,5,28,50,0.8819465842128529
40,5,29,30,0.5513899458423157
40,5,29,40,0.5885357600263385
40,5,29,50,0.8831779632918657
50,4,24,30,0.5739221460276911
50,4,24,40,0.6820794695449842
50,4,24,50,0.7498942853309911
50,4,25,30,0.5746938591471288
50,4,25,40,0.6798789339535669
50,4,25,50,0.7526579717215225
50,4,26,30,0.5773010273726504
50,4,26,40,0.6797745718806998
50,4,26,50,0.7545226183323382
50,4,27,30,0.5800272997056639
50,4,27,40,0.6803549854824661
50,4,27,50,0.7560759412123037
50,4,28,30,0.5818564306486045
50,4,28,40,0.6800718235046169
50,4,28,50,0.7582190269802667
50,4,29,30,0.5847049664096258
50,4,29,40,0.6810255606974986
50,4,29,50,0.7595212382002356
50,5,24,30,0.5639776208914515
50,5,24,40,0.6602109194743486
50,5,24,50,0.7554212174575591
50,5,25,30,0.5669929655715491
50,5,25,40,0.6605055261919188
50,5,25,50,0.757395915742137
50,5,26,30,0.570110759323166
50,5,26,40,0.6615000957967472
50,5,26,50,0.7590339652393954
50,5,27,30,0.5722545974852369
50,5,27,40,0.6615576777260013
50,5,27,50,0.7613025590546966
50,5,28,30,0.5754669958054359
50,5,28,40,0.6629041795173308
50,5,28,50,0.7626651790654417
50,5,29,30,0.5775501221133765
50,5,29,40,0.6639663835831211
50,5,29,50,0.7630139164122525
